,tweet_id,retweet_count,favorite_count
722,nan,8521,26949
723,nan,1604,8310
724,nan,6238,19250
725,nan,2184,8694
726,nan,6470,18630
727,nan,7236,0
728,nan,3920,12357
729,nan,3129,11634
730,nan,1314,4466
731,nan,6426,23163
732,nan,2961,7973
733,nan,2458,9428
734,nan,3168,10895
735,nan,8536,24192
736,nan,2328,8033
737,nan,1505,6141
738,nan,3839,13525
739,nan,2032,7040
740,nan,4319,0
741,nan,136,0
742,nan,1224,5892
743,nan,2589,9712
744,nan,2655,0
745,nan,5815,13723
746,nan,8237,21252
747,nan,3613,9831
748,nan,21324,0
749,nan,4207,13206
750,nan,5247,16500
751,nan,8437,22342
752,nan,11550,0
753,nan,426,955
754,nan,1562,7717
755,nan,1729,6430
756,nan,1176,5177
757,nan,5023,15135
758,nan,14198,0
759,nan,1271,6515
760,nan,3836,11576
761,nan,3065,9417
762,nan,1885,7320
763,nan,4080,0
764,nan,1893,7078
765,nan,3403,12518
766,nan,4947,0
767,nan,2910,9742
768,nan,4999,15921
769,nan,15839,0
770,nan,1405,5444
771,nan,3249,9858
772,nan,10673,0
773,nan,18497,33345
774,nan,2919,10681
775,nan,5068,13102
776,nan,179,2045
777,nan,17621,0
778,nan,3116,13022
779,nan,4627,15413
780,nan,5302,14361
781,nan,3472,8295
782,nan,4532,11309
783,nan,9220,0
784,nan,5488,17281
785,nan,2035,9462
786,nan,2013,7508
787,nan,6478,24167
788,nan,4492,11925
789,nan,1999,7110
790,nan,1891,7317
791,nan,1501,5935
792,nan,7126,24553
793,nan,5912,0
794,nan,8640,25846
795,nan,3699,10414
796,nan,4736,11117
797,nan,4501,9555
798,nan,2669,8842
799,nan,3914,0
800,nan,1968,7192
801,nan,1612,6665
802,nan,1300,4181
803,nan,848,4165
804,nan,546,3005
805,nan,1065,4448
806,nan,2181,7298
807,nan,3924,13356
808,nan,3018,9167
809,nan,5912,11746
810,nan,8705,0
811,nan,3357,10223
812,nan,1663,6898
813,nan,1782,7032
814,nan,1415,5498
815,nan,1626,5749
816,nan,52360,0
817,nan,2013,8130
818,nan,2390,6987
819,nan,1718,6923
820,nan,3520,0
821,nan,2651,8385
822,nan,11131,34948
823,nan,1926,7101
824,nan,8830,0
825,nan,1969,5980
826,nan,7574,16017
827,nan,3129,0
828,nan,1034,4660
829,nan,1382,4580
830,nan,1473,5592
831,nan,6719,0
832,nan,3958,15110
833,nan,4080,12157
834,nan,1634,5309
835,nan,6221,17814
836,nan,2688,8295
837,nan,4406,13643
838,nan,3261,11227
839,nan,6521,0
840,nan,1565,5650
841,nan,438,2872
842,nan,918,4484
843,nan,1825,6671
844,nan,2166,7493
845,nan,2970,0
846,nan,1003,4765
847,nan,571,4149
848,nan,2475,8021
849,nan,1407,5760
850,nan,3127,20539
851,nan,2475,7842
852,nan,3914,12902
853,nan,2029,7099
854,nan,1745,6718
855,nan,61,812
856,nan,4858,14041
857,nan,1702,6004
858,nan,3484,0
859,nan,2602,8163
860,nan,4190,13518
861,nan,7612,12571
862,nan,4839,11503
863,nan,1298,5350
864,nan,17919,35400
865,nan,2310,5992
866,nan,4535,0
867,nan,979,4707
868,nan,33421,55016
869,nan,1336,4578
870,nan,20500,0
871,nan,1669,5792
872,nan,1265,4957
873,nan,1775,5908
874,nan,3952,12482
875,nan,1104,4228
876,nan,2210,7343
877,nan,1481,5485
878,nan,4168,8399
879,nan,1608,4681
880,nan,13140,29618
881,nan,995,4338
882,nan,2079,6334
883,nan,38,0
884,nan,2382,6581
885,nan,6521,16284
886,nan,2265,7433
887,nan,2173,6620
888,nan,24319,0
889,nan,1341,5202
890,nan,2827,9418
891,nan,561,1846
892,nan,2221,6725
893,nan,1359,0
894,nan,4813,16101
895,nan,2302,7227
896,nan,1027,3904
897,nan,4376,12376
898,nan,1824,6339
899,nan,1132,4227
900,nan,2539,5316
901,nan,2204,5756
902,nan,1245,3797
903,nan,11550,21302
904,nan,433,3001
905,nan,3710,7613
906,nan,9299,0
907,nan,1391,5022
908,nan,1272,5026
909,nan,336,0
910,nan,1219,4808
911,nan,7759,16743
912,nan,2009,6462
913,nan,1637,4995
914,nan,2271,6923
915,nan,2295,7342
916,nan,1511,5612
917,nan,4169,11506
918,nan,1231,4359
919,nan,15071,28519
920,nan,1738,7114
921,nan,3285,8092
922,nan,6148,18212
923,nan,12621,23446
924,nan,9193,0
925,nan,2870,7616
926,nan,591,2854
927,nan,2220,5852
928,nan,846,4147
929,nan,2670,8655
930,nan,4079,9726
931,nan,2492,6458
932,nan,4071,8731
933,nan,2186,6384
934,nan,2655,8411
935,nan,6620,0
936,nan,1191,3758
937,nan,24013,41080
938,nan,1109,4283
939,nan,7798,13970
940,nan,1790,7592
941,nan,3291,0
942,nan,1846,6642
943,nan,1794,4878
944,nan,2605,6140
945,nan,3917,8157
946,nan,1263,4238
947,nan,18963,0
948,nan,2106,6569
949,nan,1060,3415
950,nan,1530,5770
951,nan,2227,6428
952,nan,3320,6479
953,nan,3440,8699
954,nan,1265,4849
955,nan,1445,5547
956,nan,1127,3516
957,nan,6695,13791
958,nan,2086,6948
959,nan,1480,5610
960,nan,1595,5306
